1,'anusha','pariti','anusha.pariti@gmail.com',8105987404,'Bangalore','16.04.2015','F','7L5FZW','Y'
2,Ashish,Singh,ashish.singh@gmail.com,9876890463,Bangalore,'23.05.2015',M,KF34MF,Y
3,Bhaskar,maheshwari,bhaskar.mah@gmail.com,9801834992,Bangalore,'01.05.2015',M,5TYSHGF,N
4,Garima,yadav,garima0191@gmail.com,81059237004,Bangalore,'20.10.2015',F,5G5FQW,N
5,Tanvi,mann,tanvi.mann1907@gmail.com,9178352769,Bangalore,'16.02.2015',F,JSH48B,N
6,Harish,sahai,harish294all@gmail.com,9876548763,Bangalore,'11.11.2015',M,MKGI2W,Y
7,Kamal,gera,kamal0094@gmail.com,8105987404,Bangalore,'31.10.2015',M,MK34ER,N
8,Tushar,kapoor,tushar.kapoor21@gmail.com,8926537154,Pune,'12.12.2015',M,KLF12E,N
9,Shivshankar,das,sankar.shiva730@gmail.com,9801834992,Pune,'06.10.2015',M,3RE5TY,Y
10,Aditi,jain,aditi.jain@sproxil.com,9873123456,Pune,'11.06.2015',F,5TPL4E,N
11,Deepa,sudhakar,sudhakar.deepa@gmail.com,7896785432,Pune,'15.09.2015',F,4RTYUIO,Y
12,Umang,parejiya,uparejiya@gmail.com,7896543674,Pune,'18.07.2015',M,6TY4WE,N
13,Mitali,gupta,mitali.gupta80@gmail.com,8796751238,Pune,'24.03.2015',F,5RTYU3,Y
14,Manisha,Yadav,maniyadav88@gmail.com,9867845182,Delhi,'27.01.2015',F,LKGHY6,N
15,Shivani,godha,shivani_go@nid.edu,9878673428,Delhi,'19.02.2015',F,8NM4R,Y
16,Rajan,pandey,raajanpandey@gmail.com,8987647811,delhi,'04.09.2015',M,5TYUIO,N
17,Roosena,manuel,roseenasimimanuel@gmail.com,9875623345,Delhi,'13.04.2015',F,6TYHU,Y
18,Prabhjot,gill,prabhjotgill09@gmail.com,9800786688,Delhi,'30.12.2015',M,GHJK34,N
19,Ankita,sharma,ankita.anku96@gmail.com,9988789656,Delhi,'17.08.2015',F,TH67TY,Y
20,Karan,Singh,karan.singh@gmail.com,8976665768,Delhi,'15.09.2015',M,LRF34F,N
